id,language,value,Chai,description,latitude,longitude,genus,family,Form,In Script,Script_Form
xoo,!Xóõ,2,2,Words derived from Min Nan Chinese te,-24,21.5,Tu,Tu,Variation of te,Variation of te,Variation of te
abz,Abaza,1,0,Words derived from Sinitic cha,44,42,Northwest Caucasian,Northwest Caucasian,ʈ͡ʂaj,чай,чай (ʈ͡ʂaj)
abk,Abkhaz,1,0,Words derived from Sinitic cha,43.06,41.16,,Abkhaz-Adyge,ɑt͡ʃʰɑi,ача́и,ача́и (ɑt͡ʃʰɑi)
ace,Acehnese,2,2,Words derived from Min Nan Chinese te,5.5,95.5,Malayo-Sumbawan,Austronesian,te,teh,teh
ady,Adyghe,1,0,Words derived from Sinitic cha,44.65,40,,Abkhaz-Adyge,ɕaːj,щӀай,щӀай (ɕaːj)
afr,Afrikaans,2,2,Words derived from Min Nan Chinese te,-31,22,Germanic,Indo-European,tee,tee,tee
aht,Ahtna,1,1,Words derived from Sinitic cha,62,-145,Athapaskan,Na-Dene,chie,tsaey,tsaey
abm,Alabama,3,3,Others,32.33333333,-87.41666667,Muskogean,Muskogean,,tìika,tìika
alb,Albanian,1,0,Words derived from Sinitic cha,41,20,Albanian,Indo-European,t͡ʃaj,çaj,çaj
ale,Aleut,1,1,,52.12,-174.29,,Eskimo-Aleut,t͡ʃɛːjoχ,chaayuq,chaayuq
yna,Aluo,3,3,Others,25.937203,102.1064952,,Sino-Tibetan,lu̱⁵⁵,,lu
alt,Alsatian,2,2,Words derived from Min Nan Chinese te,48.5,7.5,Germanic,Indo-European,,,tee
amh,Amharic,1,1,Words derived from Sinitic cha,10,38,Semitic,Afro-Asiatic,(šay),ሻይ,ሻይ (šay)
njm,Angami Kohima,1,1,,25.55,94.1333,,Sino-Tibetan,cha,,cha
njo,Ao Chungli,3,3,,26.3167,94.5167,,Sino-Tibetan,külüp◦tzü,,külüp◦tzü
njo,Ao Mongsen,3,3,,26.4167,94.4,,Sino-Tibetan,sunga,,sunga
arb,Arabic (Egyptian),1,0,Words derived from Sinitic cha,30,31,Semitic,Afro-Asiatic,ʃaːj,شاي,شاي (ʃaːj)
aqc,Archi,1,0,,42,46.8333,,Nakh-Daghestanian,čij,чай,чай (čij)
arm,Armenian,2,2,Words derived from Min Nan Chinese te,40,45,Armenian,Indo-European,tʰɛj,թեյ,թեյ (tʰɛj)
ass,Assamese,1,1,Words derived from Sinitic cha,26,93,Indic,Indo-European,sah,চাহ,চাহ (sah)
ast,Asturian,2,2,Words derived from Min Nan Chinese te,43.25,-6,Romance,Indo-European,,té,té
ata,Atayal,3,3,Others,24.5,121.3333333,Atayalic,Austronesian,,,Other Variant
ava,Avar,1,0,,41.7,46.56,,Nakh-Daghestanian,t͡ʃaj,чай,чай (t͡ʃaj)
aze,Azerbaijani,1,0,Words derived from Sinitic cha,40.5,48.5,Turkic,Altaic,t͡ʃɑj,çay,çay (t͡ʃɑj)
bdg,Badaga,2,2,Words derived from Min Nan Chinese te,11.66666667,76.75,Southern Dravidian,Dravidian,,,Variation of te
pha,"Baheng, West",,,,25.74971,109.286281,,Hmong-Mien,tɕi¹¹,,
bal,Balinese,2,2,Words derived from Min Nan Chinese te,-8.333333333,115.25,Malayo-Sumbawan,Austronesian,,téh,téh
blc,Baluchi,1,1,Words derived from Sinitic cha,28,62,Iranian,Indo-European,chah,چاہ,چاہ (chah)
bam,Bambara,3,3,Others,12.5,-7.5,Western Mande,Mande,,,atayi
Bana,Bana,,,,26.265147,110.096902,,Hmong-Mien,tɕi³¹,,
bsk,Bashkir,1,1,Words derived from Sinitic cha,53,58,Turkic,Altaic,sæj,сәй,сәй (sæj)
bsq,Basque,1,1,Words derived from Sinitic cha,43,-3,Basque,Basque,te,tea,tea
bel,Belorussian,1,0,Words derived from Sinitic cha,54,28,Slavic,Indo-European,ʈ͡ʂaj,чай,чай (ʈ͡ʂaj)
ben,Bengali,1,0,Words derived from Sinitic cha,24,90,Indic,Indo-European,t͡ʃa,চা,চা (t͡ʃa)
bma,Berber (Middle Atlas),3,3,Others,33,-5,Berber,Afro-Asiatic,atay,ⵜⵢ,ⵜⵢ (atay)
kap,Bezhta,1,0,,42.0833,46.1667,,Nakh-Daghestanian,čay,чай,чай (čay)
bje,Biao Min,,,,25.82286,111.29622,,Hmong-Mien,tja³¹,,
bre,Breton,2,2,Words derived from Min Nan Chinese te,48,-3,Celtic,Indo-European,teː,te,te
bru,Bru (Eastern),2,2,Words derived from Min Nan Chinese te,17.33333333,106,Katuic,Austro-Asiatic,,,Variant of te
bul,Bulgarian,1,0,Words derived from Sinitic cha,42.5,25,Slavic,Indo-European,t͡ʃaj,чай,чай (t͡ʃaj)
brj,Burji,1,1,Words derived from Sinitic cha,5.5,37.83333333,Lowland East Cushitic,Afro-Asiatic,,,Variant of cha/chai
brm,Burmese,3,3,Others,21,96,Burmese-Lolo,Sino-Tibetan,lak◦phak◦raññ,လက်ဖက်ရည်,လက်ဖက်ရည် (lak◦phak◦raññ)
bur,Burushaski,1,0,Words derived from Sinitic cha,36.5,74.5,Burushaski,Burushaski,ˈt͡ɕai,چائے,چائے (ˈt͡ɕai)
bua,Buryat,1,0,,51.83,107.6,,Mongolic-Khitan,saj,сай,сай (saj)
cnt,Cantonese,1,1,Words derived from Sinitic cha,23,113,Chinese,Sino-Tibetan,cha,茶,茶 (cha)
ctl,Catalan,2,2,Words derived from Min Nan Chinese te,41.75,2,Romance,Indo-European,t̪ɛ,te,te
ceb,Cebuano,1,1,Words derived from Sinitic cha,10,124,Greater Central Philippine,Austronesian,,tsá,tsá
cwg,Cheq Wong,2,2,,3.8807,102.456,,Austroasiatic,tɑm_tɛh,, (tɑm_tɛh)
cme,Cham (Eastern),1,1,Words derived from Sinitic cha,11.33333333,108.5,Malayo-Sumbawan,Austronesian,,,Variant of cha/chai
cha,Chamorro,1,1,Words derived from Sinitic cha,13.45,144.75,Chamorro,Austronesian,,cha,Variant of cha/chai
zh,Changsha,,,,28.85032,112.943344,,Sino-Tibetan,tsa¹³,,
chn,Chantyal,1,1,Words derived from Sinitic cha,28.58333333,83.41666667,Bodic,Sino-Tibetan,,,Variant of cha/chai
nan,Chaozhou,,,,23.666667,116.633333,,Sino-Tibetan,te⁵⁵,,
chc,Chechen,1,0,Words derived from Sinitic cha,43.25,45.83333333,Nakh,Nakh-Daghestanian,t͡ʃəɪ̆,чай,чай (t͡ʃəɪ̆)
cmh,Chemehuevi,2,2,Words derived from Min Nan Chinese te,34.33333333,-115.1666667,Numic,Uto-Aztecan,,,Variant of te
zh,Chengdu,,,,30.605768,103.970947,,Sino-Tibetan,tsʰa³¹,,
che,Cherokee,3,3,Others,35.5,-83.5,Southern Iroquoian,Iroquoian,oo-gah-lo-geh ,ᎤᎦᎶᎨ,ᎤᎦᎶᎨ (oo-gah-lo-geh )
cyn,Cheyenne,3,3,Others,47,-95,Algonquian,Algic,,,véhpotséhohpe
cic,Chichewa,2,2,Words derived from Min Nan Chinese te,-14,34,Bantoid,Niger-Congo,,tiyi,tiyi
chp,Chipewyan,2,2,Words derived from Min Nan Chinese te,59,-106,Athapaskan,Na-Dene,,,Variant of te
nri,Chokri,,,,25.6833,94.2667,,Sino-Tibetan,cha,,
chr,Chrau,1,1,Words derived from Sinitic cha,10.75,107.5,Bahnaric,Austro-Asiatic,,,Variant of cha/chai
crh,Chru,2,2,Words derived from Min Nan Chinese te,11.5,108.5,Malayo-Sumbawan,Austronesian,,,Variant of te
cqd,Chuanqiandian,,,,27.51846,105.421028,,Hmong-Mien,tʂʰua³¹,,
cqd,"Chuanqiandian, Central Guizhou",,,,26.231562,106.861969,,Hmong-Mien,ki³¹,,
cqd,"Chuanqiandian, Northeast Yunnan",,,,27.096059,103.698607,,Hmong-Mien,ka³³tɕi⁵⁵dɦu¹¹,,
cqd,"Chuanqiandian, Southern Guizhou",,,,25.586343,106.323467,,Hmong-Mien,tɕi¹¹,,
ckt,Chukchi,1,0,,68.64,170.04,,Chukotko-Kamchatkan,t͡ɕaj,чай,чай (t͡ɕaj)
chv,Chuvash,1,0,Words derived from Sinitic cha,55.5,47.5,Turkic,Altaic,t͡ɕɛj,чей,чей (t͡ɕɛj)
ccp,Cocopa,2,2,Words derived from Min Nan Chinese te,32.33333333,-115,Yuman,Hokan,,,Variant of te
com,Comorian,1,1,Words derived from Sinitic cha,-12,44,Bantoid,Niger-Congo,,,Variant of cha/chai
cre,Cree (Plains),3,3,Others,54,-110,Algonquian,Algic,,,Other variant
hrv,Croatian,1,0,Words derived from Sinitic cha,45.2,16.83,,Indo-European,t͡ʃâj,,čaj
cua,Cua,2,2,Words derived from Min Nan Chinese te,15.25,108.5,Bahnaric,Austro-Asiatic,,,Variant of te
cze,Czech,1,0,Words derived from Sinitic cha,50,15,Slavic,Indo-European,t͡ʃaj,čaj,čaj
dga,Dagaare,2,2,Words derived from Min Nan Chinese te,10.5,-2.666666667,Gur,Niger-Congo,,,Variant of te
dah,Dahalo,1,1,Words derived from Sinitic cha,-2.333333333,40.5,Dahalo,Afro-Asiatic,,,Variant of cha/chai
dsh,Danish,2,2,Words derived from Min Nan Chinese te,56,10,Germanic,Indo-European,ˈteːˀ,te,te
dan,Dargwa,1,0,,42.43,47.44,,Nakh-Daghestanian,t͡ʃaj,чай,чай (t͡ʃaj)
dhi,Dhivehi,1,1,Words derived from Sinitic cha,4.166666667,73.5,Indic,Indo-European,sai,ސައި‎,ސައި‎ (sai)
Diaocao,Diaocao,,,,25.435,100.178,,Sino-Tibetan,lɔ²¹ʝi²⁴,,
Dimasa,Dimasa,,,,25.42,93.18,,Sino-Tibetan,sa,,
din,Dinka,1,1,Words derived from Sinitic cha,8.5,28,Nilotic,Eastern Sudanic,,,Variant of cha/chai
dio,Diola-Fogny,2,2,Words derived from Min Nan Chinese te,13,-16.25,Northern Atlantic,Niger-Congo,,,Variant of te
Dongnu,Dongnu,,,,24.201523,107.957327,,Hmong-Mien,ʔa⁰²kji²³¹,,
dua,Duala,2,2,Words derived from Min Nan Chinese te,4,9.416666667,Bantoid,Niger-Congo,,,Variant of te
dut,Dutch,2,2,Words derived from Min Nan Chinese te,52.5,6,Germanic,Indo-European,thee,thee,thee
Ega,Ega,,,,26.4858945,98.8528962,,Sino-Tibetan,tɕo21,,
eng,English,2,2,Words derived from Min Nan Chinese te,52,0,Germanic,Indo-European,tea,tea,tea
Enqi,Enqi,,,,26.4738155,99.1189832,,Sino-Tibetan,tjo21,,
Eryuan,Eryuan,,,,26.538056,99.91,,Sino-Tibetan,tʂɔ²¹,,
myv,Erzya,1,0,,53,45.5,Mordvin,Uralic,t͡ɕaj,чай ,чай  (t͡ɕaj)
est,Estonian,2,2,Words derived from Min Nan Chinese te,59,26,Finnic,Uralic,tʲeː,tee,tee
evn,Even,1,1,Words derived from Sinitic cha,68,130,Tungusic,Altaic,t͡ʃaj,,Variant of cha/chai
ewe,Ewe,2,2,Words derived from Min Nan Chinese te,6.333333333,0.4166666667,Kwa,Niger-Congo,,,Variant of te
ewo,Ewondo,2,2,Words derived from Min Nan Chinese te,4,12,Bantoid,Niger-Congo,,,Variant of te
fin,Finnish,2,2,Words derived from Min Nan Chinese te,62,25,Finnic,Uralic,tɛː,tee,tee
enf,Forest Enets,1,0,,69.98,88.21,,Uralic,t͡ʃaj,дяй,дяй (t͡ʃaj)
fre,French,2,2,Words derived from Min Nan Chinese te,48,2,Romance,Indo-European,te,thé,thé
fli,Ful (Liptako),3,3,Others,13.5,0.5,Northern Atlantic,Niger-Congo,,,Other variant
fua,Fula (Cameroonian),1,1,Words derived from Sinitic cha,9.166666667,13.5,Northern Atlantic,Niger-Congo,,,Variant of cha/chai
Fuzhou,Fuzhou,,,,26.08904,119.294243,,Sino-Tibetan,ta⁵²,,
gml,Gamilaraay,2,2,Words derived from Min Nan Chinese te,-29.83333333,149.5,Southeastern Pama-Nyungan,Pama-Nyungan,,,Variant of te
Gawwada,Gawwada,,,,5.5,37.25,,Afro-Asiatic,haaše,,
geo,Georgian,1,0,Words derived from Sinitic cha,42,44,Kartvelian,Kartvelian,t͡ʃʰɑi,ჩაი,ჩაი (t͡ʃʰɑi)
ger,German,2,2,Words derived from Min Nan Chinese te,52,10,Germanic,Indo-European,teː,Tee,Tee
grt,Gorontalo,2,2,Words derived from Min Nan Chinese te,0.5,122,Greater Central Philippine,Austronesian,,,Variant of te
grk,Greek (Modern),1,0,Words derived from Sinitic cha,39,22,Greek,Indo-European,tsai,τσάι,τσάι (tsai)
gdl,Guadeloupe Creole,2,2,Words derived from Min Nan Chinese te,16.25,-61.5,Creoles and Pidgins,other,,,Variant of te
Guangzhou,Guangzhou,,,,23.1253503,112.9476548,,Sino-Tibetan,tʃʰa²¹,,
gua,Guaraní,2,2,Words derived from Min Nan Chinese te,-26,-56,Tupi-Guaraní,Tupian,,,Variant of te
guj,Gujarati,1,1,Words derived from Sinitic cha,23,72,Indic,Indo-European,cha,ચા,ચા (cha)
Gurindji,Gurindji,3,3,,-17.6667,130.667,,Pama-Nyungan,nalija,,nalija
HaniQiepu,Hani-Qiepu,,,,23.17492035,102.323801,,Sino-Tibetan,ɯ³³lɔ⁴⁴,,
Haoni,Haoni,,,,23.44336047,101.7461037,,Sino-Tibetan,lɔ³¹khɛ⁵⁵,,
hau,Hausa,1,1,Words derived from Sinitic cha,12,7,West Chadic,Afro-Asiatic,sháayìi,shayi,shayi
haw,Hawaiian,3,3,Others,19.58333333,-155.5,Oceanic,Austronesian,kī,kī,kī
heb,Hebrew (Modern),2,2,Words derived from Min Nan Chinese te,31.5,34.83333333,Semitic,Afro-Asiatic,tɛ,תה,תה (tɛ)
Hefei,Hefei,,,,31.873593,117.223663,,Sino-Tibetan,tʂʰa⁵⁵,,
Heqing,Heqing,,,,26.0991374,99.9416161,,Sino-Tibetan,tsɔu²¹,,
hil,Hiligaynon,1,1,Words derived from Sinitic cha,10.25,123,Greater Central Philippine,Austronesian,,,Variant of cha/chai
mrj,Hill Mari,1,0,,56.33,46.33,,Uralic,t͡ʃæj,чай,чай (t͡ʃæj)
hin,Hindi,1,0,Words derived from Sinitic cha,25,77,Indic,Indo-European,t͡ʃaːj,चाय,चाय (t͡ʃaːj)
ain,Hokkaido Ainu,,,,43.63,142.46,,Ainu,t͡sa,,
hre,Hre,2,2,Words derived from Min Nan Chinese te,14.66666667,108.6666667,Bahnaric,Austro-Asiatic,,,Variant of te
hun,Hungarian,2,2,Words derived from Min Nan Chinese te,47,20,Ugric,Uralic,tɛɒ,tea,tea
ice,Icelandic,2,2,Words derived from Min Nan Chinese te,65,-17,Germanic,Indo-European,tʰɛ,te,te
smn,Inari Sami,2,2,,69.42,27.87,,Uralic,t͡ʃeː,,Variant of te
ind,Indonesian,2,2,Words derived from Min Nan Chinese te,0,106,Malayo-Sumbawan,Austronesian,,teh,teh
ing,Ingush,1,0,Words derived from Sinitic cha,43.16666667,45.08333333,Nakh,Nakh-Daghestanian,chay,чай,чай (chay)
Iraqw,Iraqw,,,,-4,35.5,,Afro-Asiatic,chay,,
iri,Irish,2,2,Words derived from Min Nan Chinese te,53,-8,Celtic,Indo-European,t̪ˠeː,tae,tae
ita,Italian,2,2,Words derived from Min Nan Chinese te,43,12,Romance,Indo-European,tɛ,tè,tè
itl,Itelmen,1,0,,56.78,156.91,,Chukotko-Kamchatkan,t͡ʃaj,, (t͡ʃaj)
inu,Iñupiaq,3,3,Others,67,-161,Eskimo,Eskimo-Aleut,saiyu,,saiyu
jpn,Japanese,1,1,Words derived from Sinitic cha,37,140,Japanese,Japanese,cha,茶/おちゃ,茶/おちゃ (cha)
jav,Javanese,2,2,Words derived from Min Nan Chinese te,-7,111,Javanese,Austronesian,,tèh,tèh
Jianchuan,Jianchuan,,,,26.5536208,100.1396921,,Sino-Tibetan,tsou²¹,,
Jinan,Jinan,,,,36.690777,116.997299,,Sino-Tibetan,tʂʰa⁴²,,
Jingpho,Jingpho,,,,25.461826,97.329866,,Sino-Tibetan,hpa◦lap,,
Jiongnai,Jiongnai,,,,24.071002,110.105752,,Hmong-Mien,tʃi³¹,,
jmo,Jur Mödö,1,1,Words derived from Sinitic cha,6,30,Bongo-Bagirmi,Central Sudanic,,,Variant of cha/chai
juh,Ju|'hoan,2,2,Words derived from Min Nan Chinese te,-19,21,Ju-Kung,Kxa,,,Variant of te
kab,Kabardian,1,0,Words derived from Sinitic cha,43.5,43.5,Northwest Caucasian,Northwest Caucasian,shay,шай,шай (shay)
kbl,Kabyle,3,3,Others,36.5,5,Berber,Afro-Asiatic,atay,,atay
kal,Kalaallisut,2,2,,69.38,-52.86,,Eskimo-Aleut,t͡siː,tii,tii
Kalina,Kali'na,,,,5.5,-56,,Cariban,asinpan,,
kmk,Kalmyk,1,0,Words derived from Sinitic cha,44,83,Mongolic,Altaic,t͡sʰæ,цә,цә (t͡sʰæ)
kan,Kannada,1,0,,13.59,76.12,,Dravidian,t͡ʃəha,ಚಹಾ,ಚಹಾ (t͡ʃəha)
knr,Kanuri,2,2,Words derived from Min Nan Chinese te,12,13,Western Saharan,Saharan,tî,,tî
krm,Karaim,1,1,Words derived from Sinitic cha,54.66666667,24.91666667,Turkic,Altaic,,,Variant of cha/chai
kkp,Karakalpak,1,0,Words derived from Sinitic cha,43,60,Turkic,Altaic,,chay,chay
ksg,Karen (Sgaw),3,3,Others,18,97,Karen,Sino-Tibetan,la pa tee,လါဖးထံ,လါဖးထံ (la pa tee)
krk,Karok,3,3,Others,41.66666667,-123,Karok,Karok,,,Other Variant
kaz,Kazakh,1,0,Words derived from Sinitic cha,50,70,Turkic,Altaic,ʃɑj,шай,шай (ʃɑj)
Kazhuo,Kazhuo,,,,24.1478565,102.6653471,,Sino-Tibetan,sa³⁵ji³²³tɕha³¹,,
keu,Kenyah (Uma' Lung),2,2,Words derived from Min Nan Chinese te,3,115.8333333,North Borneo,Austronesian,,,Variant of te
ket,Ket,3,3,Others,64,87,Yeniseian,Yeniseian,saˀj,, (saˀj)
khk,Khakas,1,0,Words derived from Sinitic cha,53,90,Turkic,Altaic,chay,чай,чай (chay)
kha,Khalkha,1,1,Words derived from Sinitic cha,47,105,Mongolic,Altaic,,,Variant of cha/chai
khk,Khalkha Mongolian,1,0,,48.32,106.29,,Mongolic-Khitan,t͡sʰaːi̯,цай,цай (t͡sʰaːi̯)
khs,Khasi,1,1,Words derived from Sinitic cha,25.5,92,Khasian,Austro-Asiatic,sha,sha,sha (sha)
khm,Khmer,2,2,Words derived from Min Nan Chinese te,12.5,105,Khmer,Austro-Asiatic,tae,តែ,តែ (tae)
kik,Kikuyu,1,1,Words derived from Sinitic cha,-0.75,36.75,Bantoid,Niger-Congo,,,Variant of cha/chai
KildinSaami,Kildin Saami,1,0,,67,37,,Uralic,čajj,чай,чай (čajj)
KimMun,Kim Mun,,,,18.955781,109.86012,,Hmong-Mien,tʃa³³,,
kin,Kinyarwanda,1,1,Words derived from Sinitic cha,-2,30,Bantoid,Niger-Congo,,icyayi,icyayi
