American Community Survey (ACS) Data Time Period,Borough,Borough Community District Code,Community District Name,Language,LEP Population (Estimate),% of LEP Population,CVALEP Population (Estimate),% of CVALEP Population
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Albanian,7.0,0.2,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Bulgarian,68.0,2.2,31.0,1.7
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Burmese,19.0,0.6,19.0,1.1
2015-2019,Manhattan,101,"Battery Park City, Tribeca","Chinese (incl. Mandarin, Cantonese)",1946.0,62.1,1150.0,64.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Filipino,14.0,0.4,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",French,55.0,1.8,28.0,1.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",German,10.0,0.3,10.0,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Greek,11.0,0.4,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Gujarati,12.0,0.4,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hebrew,11.0,0.4,11.0,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hindi,32.0,1.0,1.0,0.1
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hungarian,10.0,0.3,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",India N.E.C.,10.0,0.3,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Italian,96.0,3.1,75.0,4.2
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Japanese,146.0,4.7,16.0,0.9
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Khmer,8.0,0.3,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Korean,18.0,0.6,10.0,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Macedonian,9.0,0.3,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Min Nan Chinese,27.0,0.9,27.0,1.5
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other languages of Africa,6.0,0.2,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Polish,17.0,0.5,17.0,1.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Portuguese,43.0,1.4,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Romanian,33.0,1.1,29.0,1.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Russian,153.0,4.9,136.0,7.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Spanish,304.0,9.7,174.0,9.8
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Tagalog,10.0,0.3,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Telugu,7.0,0.2,0.0,0.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Thai,17.0,0.5,17.0,1.0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Ukrainian,7.0,0.2,7.0,0.4
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Urdu,11.0,0.4,11.0,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Vietnamese,19.0,0.6,10.0,0.6
2015-2019,Manhattan,102,"Greenwich Village, Soho",Albanian,10.0,0.2,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Bulgarian,100.0,2.2,47.0,1.8
2015-2019,Manhattan,102,"Greenwich Village, Soho",Burmese,29.0,0.6,29.0,1.1
2015-2019,Manhattan,102,"Greenwich Village, Soho","Chinese (incl. Mandarin, Cantonese)",2873.0,62.0,1697.0,64.5
2015-2019,Manhattan,102,"Greenwich Village, Soho",Filipino,22.0,0.5,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",French,82.0,1.8,41.0,1.6
2015-2019,Manhattan,102,"Greenwich Village, Soho",German,15.0,0.3,15.0,0.6
2015-2019,Manhattan,102,"Greenwich Village, Soho",Greek,16.0,0.3,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Gujarati,18.0,0.4,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Hebrew,17.0,0.4,17.0,0.6
2015-2019,Manhattan,102,"Greenwich Village, Soho",Hindi,47.0,1.0,2.0,0.1
2015-2019,Manhattan,102,"Greenwich Village, Soho",Hungarian,14.0,0.3,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",India N.E.C.,15.0,0.3,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Italian,143.0,3.1,110.0,4.2
2015-2019,Manhattan,102,"Greenwich Village, Soho",Japanese,217.0,4.7,24.0,0.9
2015-2019,Manhattan,102,"Greenwich Village, Soho",Khmer,11.0,0.2,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Korean,26.0,0.6,16.0,0.6
2015-2019,Manhattan,102,"Greenwich Village, Soho",Macedonian,14.0,0.3,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Min Nan Chinese,40.0,0.9,40.0,1.5
2015-2019,Manhattan,102,"Greenwich Village, Soho",Other languages of Africa,8.0,0.2,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Polish,26.0,0.6,26.0,1.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Portuguese,64.0,1.4,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Romanian,49.0,1.1,44.0,1.7
2015-2019,Manhattan,102,"Greenwich Village, Soho",Russian,225.0,4.9,201.0,7.6
2015-2019,Manhattan,102,"Greenwich Village, Soho",Spanish,449.0,9.7,257.0,9.8
2015-2019,Manhattan,102,"Greenwich Village, Soho",Tagalog,15.0,0.3,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Telugu,10.0,0.2,0.0,0.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Thai,26.0,0.6,26.0,1.0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Ukrainian,10.0,0.2,10.0,0.4
2015-2019,Manhattan,102,"Greenwich Village, Soho",Urdu,16.0,0.3,16.0,0.6
2015-2019,Manhattan,102,"Greenwich Village, Soho",Vietnamese,29.0,0.6,14.0,0.5
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Arabic,73.0,0.2,43.0,0.2
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Bengali,140.0,0.3,140.0,0.5
2015-2019,Manhattan,103,"Lower East Side, Chinatown","Chinese (incl. Mandarin, Cantonese)",29402.0,70.2,17721.0,66.1
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Filipino,11.0,0.0,11.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",French,76.0,0.2,0.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",German,55.0,0.1,15.0,0.1
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Greek,33.0,0.1,33.0,0.1
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Haitian,121.0,0.3,121.0,0.5
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Hebrew,93.0,0.2,73.0,0.3
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Hindi,15.0,0.0,0.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Italian,48.0,0.1,48.0,0.2
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Japanese,347.0,0.8,51.0,0.2
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Korean,363.0,0.9,113.0,0.4
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Malay,16.0,0.0,0.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Malayalam,18.0,0.0,0.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Min Nan Chinese,389.0,0.9,221.0,0.8
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Other Eastern Malayo-Polynesian languages,21.0,0.1,0.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Pakistan N.E.C.,8.0,0.0,0.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Polish,241.0,0.6,108.0,0.4
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Portuguese,1.0,0.0,1.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Russian,231.0,0.6,210.0,0.8
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Serbocroatian,36.0,0.1,0.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Spanish,9848.0,23.5,7656.0,28.6
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Swedish,18.0,0.0,0.0,0.0
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Tagalog,86.0,0.2,79.0,0.3
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Ukrainian,75.0,0.2,75.0,0.3
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Urdu,29.0,0.1,29.0,0.1
2015-2019,Manhattan,103,"Lower East Side, Chinatown",Vietnamese,112.0,0.3,54.0,0.2
2015-2019,Manhattan,104,"Chelsea, Clinton",Albanian,15.0,0.2,15.0,0.3
2015-2019,Manhattan,104,"Chelsea, Clinton",Arabic,111.0,1.3,102.0,1.9
2015-2019,Manhattan,104,"Chelsea, Clinton",Bengali,129.0,1.5,106.0,2.0
2015-2019,Manhattan,104,"Chelsea, Clinton",Bulgarian,25.0,0.3,25.0,0.5
2015-2019,Manhattan,104,"Chelsea, Clinton","Chinese (incl. Mandarin, Cantonese)",2760.0,31.5,1736.0,33.2
2015-2019,Manhattan,104,"Chelsea, Clinton",Filipino,20.0,0.2,14.0,0.3
2015-2019,Manhattan,104,"Chelsea, Clinton",French,125.0,1.4,89.0,1.7
2015-2019,Manhattan,104,"Chelsea, Clinton",German,69.0,0.8,41.0,0.8
2015-2019,Manhattan,104,"Chelsea, Clinton",Greek,39.0,0.4,39.0,0.7
2015-2019,Manhattan,104,"Chelsea, Clinton",Gujarati,46.0,0.5,46.0,0.9
2015-2019,Manhattan,104,"Chelsea, Clinton",Haitian,93.0,1.1,87.0,1.7
